id,name,price,original_price,discount,rating_average,review_count,brand,category
263239696,Pin kiềm AAA Philips LR03P10TS/97 vỉ 10 viên,86000,109000,23000,5.0,8,Philips,
205291681,"Khăn Tắm 100% Cotton Cao Cấp Homemark - Siêu Mềm Mại, Thấm Hút, Dùng Cho Mặt, Gội Đầu, Gym, Thể Thao",75000,89000,14000,4.5,4,Homemark,
199728521,Bộ lau nhà đa năng Space Saving Sunhouse KS-CL3211P,240000,450000,210000,4.3,100,Sunhouse,
196362415,"Máy cắt cỏ, tỉa cành cầm tay LAPUSEN pin khủng 15000mah, động cơ mạnh 1800w",299000,299000,0,4.0,45,lapusen,
191506484,Đèn Bàn Học LED Đọc Sách Làm Việc Chống Cận Bảo Vệ Mắt - Cảm Ứng 5 Cấp Độ Điều Chỉnh  - Điều Chỉnh Vùng Sáng - Gấp Gọn Tiện Lợi ,480000,550000,70000,4.8,89,TRIỀU CƯƠNG TECH ,
190989483,Bình giữ nhiệt Baby Inox 316 Elmich EL8017 dung tích 300ml,237000,319000,82000,5.0,46,Elmich,
187829576,"VỎ GỐI NẰM,GỐI ÔM COTTON MỀM MỊN. THOÁNG MÁT GIÁ SIÊU RẺ,KÍCH THƯỚC 40X60.50X70.35X105.",34400,40000,5600,4.5,51,RioTex,
151462143,Sáo recorder 6 lỗ cao cấp ,89000,89000,0,4.8,10,Anna Tran,
145762926,"Khăn Tắm 100% Cotton Pakistan Cao Cấp Homemark - Siêu Dày, Mềm Mại, Không Phai Màu, Thấm Hút Tốt",33000,39000,6000,4.7,41,Hanvico,
125739804,"BỘ CÂY LAU NHÀ THÔNG MINH SAGOKER, mã BLNEC",249999,249999,0,4.6,156,SAGOKER,
85029640,"Ổ cắm Điện Quang ĐQ ESK 2WR 23-3U (2 lỗ 3 chấu, 3 USB, dây dài 2m, màu trắng đỏ)",200777,267700,66923,5.0,36,Điện Quang,
